kind,case,round,variant,mean_ns,median_ns,mean_ci95_low_ns,mean_ci95_high_ns
decode,medium_data_10b_chunks,1,core,1898537.9845462132,1760863.206004141,1816022.0225836386,1991696.5984214335
decode,medium_data_10b_chunks,2,current,1793626.6748740408,1742134.6553308824,1745752.207171016,1861569.6396426081
decode,medium_data_10b_chunks,2,published,3540465.5321428566,3416918.0,3419563.4067857144,3688715.659464286
decode,medium_data_10b_chunks,2,core,1788113.889585187,1723717.0146198831,1725575.283660889,1874460.6118085636
decode,medium_data_10b_chunks,3,current,1759335.112384721,1746039.98125,1739578.3133111785,1787570.1048091429
decode,medium_data_10b_chunks,3,published,3347536.4875,3312198.875,3317901.299765625,3383774.024765625
decode,medium_data_10b_chunks,3,core,1824943.774594598,1762773.55,1770128.7329009455,1893515.1943939212
decode,json_line_tcp,1,current,1098786.2139840557,1048134.0208333334,1062911.0845531272,1142993.0119664243
decode,json_line_tcp,1,published,1717409.0458206553,1564250.895982143,1631471.9159095956,1810014.1467802476
decode,json_line_tcp,1,core,826986.5949237732,802688.819892473,803625.3133516158,858637.4097933437
decode,json_line_tcp,2,current,1099171.4769729746,1045836.8615591398,1055495.6751534047,1152801.4670522572
decode,json_line_tcp,2,published,1549042.4066618967,1500565.7536764706,1504099.072602297,1609056.9095978907
decode,json_line_tcp,2,core,886483.8673330344,792204.6625310173,830204.8438103967,950191.6272124033
decode,json_line_tcp,3,current,1103356.7099357322,1030595.125,1063871.9845651577,1149406.3551170898
decode,json_line_tcp,3,published,1578333.9287545898,1503618.5694444445,1535964.5463500684,1627829.4578691612
decode,json_line_tcp,3,core,795143.0486610407,785406.1116071428,785139.9630360149,808362.9904824349
decode,json_metadata_after_tcp,1,current,1622414.742627252,1575105.77,1578209.4202220754,1682339.4861868273
decode,json_metadata_after_tcp,1,published,2226832.63285385,2094926.6489533011,2135026.494671822,2336627.492326072
decode,json_metadata_after_tcp,1,core,1789283.620390239,1629652.7018716577,1698657.4153849138,1895188.515571629
decode,json_metadata_after_tcp,2,current,1657562.563674931,1593697.9333333333,1594933.2649949603,1737940.469512223
decode,json_metadata_after_tcp,2,published,2182392.833223753,2057287.016826923,2092577.5486117916,2291939.572250314
decode,json_metadata_after_tcp,2,core,1760655.9145384268,1627201.2859477124,1673058.6781280423,1867890.4375375928
decode,json_metadata_after_tcp,3,current,1555487.4681893263,1491351.2886904762,1505349.1429543316,1622744.3243317378
decode,json_metadata_after_tcp,3,published,2096022.7700358226,2004876.45,2041506.923171276,2160051.628140484
decode,json_metadata_after_tcp,3,core,1645002.95904782,1573376.0664335664,1593582.8408509027,1710131.7410236006
decode,json_crlf_tcp,1,current,2363465.8392626615,2197329.177419355,2260514.0870145066,2483361.6424350706
decode,json_crlf_tcp,1,published,3158395.455555556,2923955.833333333,3029243.2935416666,3306741.1525694444
decode,json_crlf_tcp,1,core,2523787.2299999995,2367077.9,2415972.4981875,2656292.09425
decode,json_crlf_tcp,2,current,2297415.401311237,2167711.944137931,2196916.779932861,2420725.4151547644
decode,json_crlf_tcp,2,published,2871940.492857142,2763362.5,2782558.4238392855,3004105.205446428
decode,json_crlf_tcp,2,core,2433959.7700000005,2266314.0,2310957.9453125005,2584860.7146875
decode,json_crlf_tcp,3,current,2342741.986365908,2126552.486166008,2215862.9712282806,2482384.2048194953
decode,json_crlf_tcp,3,published,2884228.809375,2747279.125,2792451.149453125,3001628.921484375
decode,json_crlf_tcp,3,core,2319199.9970874214,2199721.4863636363,2232206.2302227044,2423878.17826762
decode,large_utf8_tcp,1,current,231396.67589883617,221706.125,223655.2745152671,241069.32115282642
decode,large_utf8_tcp,1,published,1963772.7645412746,1785097.1134259258,1867033.5630314155,2077759.367038574
decode,large_utf8_tcp,1,core,1002911.7800369936,920392.4199999999,947707.0392650816,1069777.5094967904
decode,large_utf8_tcp,2,current,250786.87305346347,234046.72916666666,238250.6525878521,265072.2051798751
decode,large_utf8_tcp,2,published,2010419.68885834,1897586.8333333335,1917236.8407111198,2118505.981986772
decode,large_utf8_tcp,2,core,1078685.311972893,974062.4506237006,1004858.0654174318,1169541.5874321386
decode,large_utf8_tcp,3,current,223827.7332935302,216339.6252173913,217163.47644444916,232298.3355406973
decode,large_utf8_tcp,3,published,1857677.9474698864,1787197.7234432234,1806763.3414198533,1925667.6690187096
decode,large_utf8_tcp,3,core,974481.1617020972,929276.6458333333,933430.7927881976,1030954.1432686257
decode,large_utf8_event,1,current,188006.89597449126,176929.49702380953,180840.17249927143,196502.95539547
decode,large_utf8_event,1,published,1676547.9546847667,1624537.8392857143,1628443.8451111377,1743900.9573612695
