group,scenario,variant,round,iterations,total_ns,ns_per_iteration,events
encode,progress_data_event,direct,17,3,3044107,1014702.3333333334,3000
encode,progress_data_event,reserved,18,2,2110264,1055132,3000
encode,progress_data_event,direct,18,3,3017033,1005677.6666666666,3000
encode,progress_data_event,baseline,18,2,2474128,1237064,3000
encode,progress_data_event,direct,19,3,2976708,992236,3000
encode,progress_data_event,baseline,19,2,2484514,1242257,3000
encode,progress_data_event,reserved,19,2,2110535,1055267.5,3000
encode,progress_data_event,baseline,20,2,2480576,1240288,3000
encode,progress_data_event,reserved,20,2,2081313,1040656.5,3000
encode,progress_data_event,direct,20,3,3007860,1002620,3000
encode,progress_data_event,reserved,21,2,2089310,1044655,3000
encode,progress_data_event,direct,21,3,2995620,998540,3000
encode,progress_data_event,baseline,21,2,2484521,1242260.5,3000
encode,progress_data_event,direct,22,3,3100477,1033492.3333333334,3000
encode,progress_data_event,reserved,22,2,2161556,1080778,3000
encode,progress_data_event,baseline,22,2,2471352,1235676,3000
encode,progress_data_event,baseline,23,2,2493366,1246683,3000
encode,progress_data_event,direct,23,3,3352247,1117415.6666666667,3000
encode,progress_data_event,reserved,23,2,2415059,1207529.5,3000
encode,progress_data_event,direct,24,3,3444338,1148112.6666666667,3000
encode,progress_data_event,reserved,24,2,2056392,1028196,3000
encode,progress_data_event,baseline,24,2,2466187,1233093.5,3000
encode,progress_data_event,reserved,25,2,2070016,1035008,3000
encode,progress_data_event,baseline,25,2,2502188,1251094,3000
encode,progress_data_event,direct,25,3,3150138,1050046,3000
encode,progress_data_event,direct,26,3,3266923,1088974.3333333333,3000
encode,progress_data_event,reserved,26,2,2167653,1083826.5,3000
encode,progress_data_event,baseline,26,2,2517611,1258805.5,3000
encode,progress_data_event,reserved,27,2,2064835,1032417.5,3000
encode,progress_data_event,direct,27,3,2991282,997094,3000
encode,progress_data_event,baseline,27,2,2490501,1245250.5,3000
encode,progress_data_event,reserved,28,2,2070683,1035341.5,3000
encode,progress_data_event,baseline,28,2,2490204,1245102,3000
encode,progress_data_event,direct,28,3,2967781,989260.3333333334,3000
encode,progress_data_event,baseline,29,2,2470462,1235231,3000
encode,progress_data_event,direct,29,3,3125329,1041776.3333333334,3000
encode,progress_data_event,reserved,29,2,2215335,1107667.5,3000
encode,progress_data_event,reserved,30,2,2152236,1076118,3000
encode,progress_data_event,baseline,30,2,2944589,1472294.5,3000
encode,progress_data_event,direct,30,3,3464373,1154791,3000
decode,progress_data_1460,core,0,20,3026150,151307.5,3000
decode,progress_data_1460,combined,0,17,2662306,156606.23529411765,3000
decode,progress_data_1460,baseline,0,14,2906049,207574.92857142858,3000
decode,progress_data_1460,fused,0,20,3562261,178113.05,3000
decode,progress_data_1460,simd,0,14,2916823,208344.5,3000
decode,progress_data_1460,core,1,20,3038281,151914.05,3000
decode,progress_data_1460,baseline,1,14,2725411,194672.2142857143,3000
decode,progress_data_1460,simd,1,14,2798180,199870,3000
decode,progress_data_1460,fused,1,20,3882618,194130.9,3000
decode,progress_data_1460,combined,1,17,2680313,157665.4705882353,3000
decode,progress_data_1460,core,2,20,2827492,141374.6,3000
decode,progress_data_1460,fused,2,20,3915586,195779.3,3000
decode,progress_data_1460,baseline,2,14,2983937,213138.35714285713,3000
decode,progress_data_1460,simd,2,14,2430504,173607.42857142858,3000
decode,progress_data_1460,combined,2,17,2496568,146856.9411764706,3000
decode,progress_data_1460,baseline,3,14,2815289,201092.07142857142,3000
decode,progress_data_1460,fused,3,20,3633470,181673.5,3000
decode,progress_data_1460,combined,3,17,2710524,159442.58823529413,3000
decode,progress_data_1460,core,3,20,2909444,145472.2,3000
decode,progress_data_1460,simd,3,14,2892745,206624.64285714287,3000
decode,progress_data_1460,baseline,4,14,2688272,192019.42857142858,3000
decode,progress_data_1460,simd,4,14,2932397,209456.92857142858,3000
decode,progress_data_1460,combined,4,17,2614623,153801.35294117648,3000
decode,progress_data_1460,fused,4,20,3532591,176629.55,3000
decode,progress_data_1460,core,4,20,2582406,129120.3,3000
decode,progress_data_1460,simd,5,14,2791971,199426.5,3000
decode,progress_data_1460,fused,5,20,3701418,185070.9,3000
decode,progress_data_1460,baseline,5,14,2634939,188209.92857142858,3000
decode,progress_data_1460,combined,5,17,2501770,147162.9411764706,3000
decode,progress_data_1460,core,5,20,3209742,160487.1,3000
decode,progress_data_1460,simd,6,14,2540518,181465.57142857142,3000
decode,progress_data_1460,fused,6,20,2907604,145380.2,3000
decode,progress_data_1460,baseline,6,14,2497643,178403.07142857142,3000
decode,progress_data_1460,core,6,20,2486519,124325.95,3000
decode,progress_data_1460,combined,6,17,2099808,123518.11764705883,3000
decode,progress_data_1460,simd,7,14,2265258,161804.14285714287,3000
