group,scenario,variant,rounds,ratio_median,ratio_p10,ratio_p90,ns_per_event_median
decode_json,progress_meta_before_1460,simd,31,1.0010550471151254,0.9717596687423337,1.1520793469693356,1056.9053333333334
decode_json,progress_meta_before_event,baseline,31,1.0,1.0,1.0,1061.6173333333334
decode_json,progress_meta_before_event,combined,31,0.9894963816085454,0.9487682441749543,1.0572885109390335,1043.4223333333334
decode_json,progress_meta_before_event,core,31,0.9911371830031122,0.9547199608756416,1.158107720464949,1048.2926666666667
decode_json,progress_meta_before_event,fused,31,0.9921736177446359,0.9388421913009748,1.0653874329885433,1041.0573333333334
decode_json,progress_meta_before_event,json_only,31,0.8728479247271745,0.8318816195939982,0.9049777917394662,924.0363333333333
decode_json,progress_meta_before_event,simd,31,0.9939347233153375,0.9316639907705903,1.0306700306686558,1052.6716666666666
encode,ascii_id_after_1460,baseline,31,1.0,1.0,1.0,16152.651041666666
encode,ascii_id_after_1460,direct,31,0.8934014223064247,0.8135709458894778,1.1263639229204736,14622.419642857143
encode,ascii_id_after_1460,reserved,31,0.9246844933002234,0.8131417187295527,1.08662873699788,14759.79017857143
encode,base64_id_after_1460,baseline,31,1.0,1.0,1.0,14953.161458333334
encode,base64_id_after_1460,direct,31,0.8896719220275737,0.8182690531646026,0.9082772040675489,13249.97767857143
encode,base64_id_after_1460,reserved,31,0.9466911783914145,0.8636523758620182,1.0250068297572086,14068.828125
encode,chinese_id_after_1460,baseline,31,1.0,1.0,1.0,13311.089285714286
encode,chinese_id_after_1460,direct,31,0.8810009664899547,0.854520447692331,0.9063537201946772,11772.91517857143
encode,chinese_id_after_1460,reserved,31,0.9376348493272245,0.9096487056165491,0.9561442443582083,12459.77232142857
encode,mixed_id_after_1460,baseline,31,1.0,1.0,1.0,453.3608058608059
encode,mixed_id_after_1460,direct,31,0.7451703960716282,0.7267106205982411,0.7698580585072541,337.9902597402597
encode,mixed_id_after_1460,reserved,31,0.8049478279904655,0.7765866896593654,0.8255773718412402,363.887987012987
encode,progress_data_event,baseline,31,1.0,1.0,1.0,415.034
encode,progress_data_event,direct,31,0.8038088629558776,0.7843478325837664,0.8433858390319976,334.20666666666665
encode,progress_data_event,reserved,31,0.8454133191501274,0.8192895445934428,0.8808162374067702,350.87983333333335
encode,progress_id_after_1460,baseline,31,1.0,1.0,1.0,429.81466666666665
encode,progress_id_after_1460,direct,31,0.7694178309021734,0.7061563828155148,0.8264090712195729,334.55383333333333
encode,progress_id_after_1460,reserved,31,0.8262085513211427,0.780698816769131,0.8684224167586901,360.478
