kind,case,round,variant,mean_ns,median_ns,mean_ci95_low_ns,mean_ci95_high_ns
decode,keepalive_tcp_chunks,2,baseline,1017322.1182515861,985707.6481900453,993299.6023452702,1048207.8667171893
decode,keepalive_tcp_chunks,2,core,1114847.847176053,1084466.8636363638,1082747.9985363933,1162601.9174132575
decode,keepalive_tcp_chunks,3,current,967309.9694151072,918468.0246153846,940540.0958458805,997472.3986692393
decode,keepalive_tcp_chunks,3,baseline,1230575.628745018,1037716.5827586206,1122907.4597949132,1348494.9183927397
decode,keepalive_tcp_chunks,3,core,1229355.7447397315,1163253.5887096776,1179267.0221524553,1291166.055430926
decode,keepalive_line_chunks,1,current,3232891.420833334,3161406.333333333,3177733.840104166,3299679.1445833333
decode,keepalive_line_chunks,1,baseline,3328782.0291666663,3245412.75,3267006.852916666,3401484.9096875
decode,keepalive_line_chunks,1,core,3101978.654166667,3018027.166666667,3032411.586041667,3183843.772604167
decode,keepalive_line_chunks,2,current,3308328.520833333,3184749.0833333335,3235186.913437499,3394193.514166667
decode,keepalive_line_chunks,2,baseline,3404941.3916666666,3272792.166666667,3316932.953229167,3509012.283333333
decode,keepalive_line_chunks,2,core,3208380.437499999,3133603.166666667,3129700.927916667,3301302.453750001
decode,keepalive_line_chunks,3,current,3346407.894999999,3315413.5,3306157.8206249992,3394506.830125001
decode,keepalive_line_chunks,3,baseline,3642505.508333333,3426380.666666667,3484207.364583333,3836567.194687501
decode,keepalive_line_chunks,3,core,3176690.2599999993,3116415.0999999996,3121251.593625,3248138.399374999
decode,keepalive_4b_chunks,1,current,10251044.4375,10029108.5,10083420.1284375,10447345.098125
decode,keepalive_4b_chunks,1,baseline,10138011.3,9968824.0,9999526.18375,10301148.2825
decode,keepalive_4b_chunks,1,core,9002460.5375,8973534.25,8975138.7784375,9034065.4953125
decode,keepalive_4b_chunks,2,current,10341720.7,10113411.0,10152018.379375,10548416.4215625
decode,keepalive_4b_chunks,2,baseline,10260861.825,10020697.5,10073484.294375,10469897.846875
decode,keepalive_4b_chunks,2,core,10030555.0,9972520.75,9827012.5234375,10259930.6325
decode,keepalive_4b_chunks,3,current,11246973.95,10759092.25,10838965.13625,11731549.694687499
decode,keepalive_4b_chunks,3,baseline,10738994.575,10508389.25,10486627.3065625,11068599.153125
decode,keepalive_4b_chunks,3,core,9636658.7625,9648347.25,9552409.336562501,9733665.8159375
decode,large_data_event_chunks,1,current,77082.7798583953,73911.91945684524,75468.67829970924,78878.30354216126
decode,large_data_event_chunks,1,baseline,79237.42752453715,75351.44939271256,77499.89538983414,81007.31037987556
decode,large_data_event_chunks,1,core,95310.9841466315,91998.09416666666,93342.09159946433,97573.44007146558
decode,large_data_event_chunks,2,current,75591.11384517967,74110.70833333334,74442.45134876069,76974.27915007106
decode,large_data_event_chunks,2,baseline,75553.48597429217,74475.54989432366,74664.85128464505,76683.13883219798
decode,large_data_event_chunks,2,core,94104.17850703493,92385.77791666667,92704.88427149507,95848.28288101872
decode,large_data_event_chunks,3,current,80257.37069459821,78120.61924424424,78314.73189885754,82716.17424403466
decode,large_data_event_chunks,3,baseline,77642.93693748981,77365.28998632946,76716.69830480215,78916.2511774384
decode,large_data_event_chunks,3,core,98859.6261635359,95522.13190463191,95467.51728103116,103143.77348549575
decode,large_data_tcp_chunks,1,current,118308.59477159337,112676.96458333333,114746.65159599634,122380.47207869402
decode,large_data_tcp_chunks,1,baseline,120015.68575326385,114292.09895833334,116468.12036361726,124274.79755091344
decode,large_data_tcp_chunks,1,core,134444.0233864851,125240.5824829932,129017.07631971082,140857.32225317534
decode,large_data_tcp_chunks,2,current,117546.9892172423,114300.98991935485,114723.47950922359,121107.60257810171
decode,large_data_tcp_chunks,2,baseline,120700.89077486537,113875.54017857142,116198.51307220689,126107.17794753124
decode,large_data_tcp_chunks,2,core,145902.7005028486,136260.17063492065,137955.40304170735,154486.0186033465
decode,large_data_tcp_chunks,3,current,145797.5165375415,127203.66326530612,136380.03740949192,155814.43561201237
decode,large_data_tcp_chunks,3,baseline,128765.2760723674,124659.47955246913,126058.67227331703,131618.45894583245
decode,large_data_tcp_chunks,3,core,138753.27180874354,136084.541478979,136691.11576169514,141151.9017608072
decode,medium_data_10b_chunks,1,current,1782026.8931818183,1714052.0,1741947.288352273,1828624.3880681815
decode,medium_data_10b_chunks,1,baseline,1819924.6386363637,1734208.0,1766706.363977273,1885149.8504545456
decode,medium_data_10b_chunks,1,core,1782401.159778788,1678962.4304761905,1729738.7792960433,1838665.4011396407
decode,medium_data_10b_chunks,2,current,1926217.511111111,1825274.888888889,1845121.8993055553,2025117.1545833338
decode,medium_data_10b_chunks,2,baseline,1954471.2175,1814599.65,1860322.8783125,2064301.1749375
decode,medium_data_10b_chunks,2,core,1924085.4,1772358.9500000002,1827407.7906874998,2037470.7939375
decode,medium_data_10b_chunks,3,current,1950041.6275000009,1811429.15,1857946.2321250003,2057872.1611874998
decode,medium_data_10b_chunks,3,baseline,2013704.165625,1963988.25,1959021.4453906252,2081551.7534375
decode,medium_data_10b_chunks,3,core,1932514.8699999996,1834692.6,1852998.3758125,2029240.982125
decode,json_line_tcp,1,current,850074.8163691344,814151.4895833333,825620.474112181,879271.8995809554
decode,json_line_tcp,1,baseline,1019771.8799284201,989128.3833333333,994716.0965911887,1051150.2135343216
decode,json_line_tcp,1,core,806660.8936145424,774370.3301767677,783462.9716309749,839218.9608818754
decode,json_line_tcp,2,current,937933.6133173842,886126.3653846154,899925.1575708637,983936.2339631901
decode,json_line_tcp,2,baseline,1143845.498001356,1056565.2321428573,1088880.8713159796,1208072.5106900749
decode,json_line_tcp,2,core,1030202.1645671537,930621.3125,969243.0316975048,1093910.4567937704
decode,json_line_tcp,3,current,964828.9362875003,874447.0166666666,912716.241842012,1022631.9320408297
decode,json_line_tcp,3,baseline,1145860.7684403644,1066593.1931818184,1100272.8694320621,1199984.4856838621
decode,json_line_tcp,3,core,955828.4882919382,836398.1625,899363.657207732,1016485.9076104469
decode,json_metadata_after_tcp,1,current,1380913.0801206056,1339691.191304348,1344429.3677707918,1428877.183050262
decode,json_metadata_after_tcp,1,baseline,1634585.6668884433,1519103.0833333335,1567601.6218972004,1713152.9425462238
decode,json_metadata_after_tcp,1,core,1687601.5874982928,1577975.8924242423,1611533.5826221032,1783127.4107318118
decode,json_metadata_after_tcp,2,current,1600649.074551261,1470204.8706896552,1508777.2698664712,1701119.5853185237
decode,json_metadata_after_tcp,2,baseline,1698709.9527777776,1639090.888888889,1647530.7534027775,1762765.2754861107
decode,json_metadata_after_tcp,2,core,1674052.3888425138,1617066.7054698458,1627023.4736484091,1734512.3115931218
decode,json_metadata_after_tcp,3,current,1457219.8359609896,1409480.9449999998,1412137.0237974743,1519902.6765839455
decode,json_metadata_after_tcp,3,baseline,1701920.094871518,1616668.0133928573,1634461.545835321,1784247.9293973746
decode,json_metadata_after_tcp,3,core,1886912.752974005,1704639.1655011654,1781037.3101572108,2010741.9706478184
decode,json_crlf_tcp,1,current,2113841.969444444,1970098.7222222222,2018029.9005555555,2228868.3584027784
decode,json_crlf_tcp,1,baseline,2180681.7888888894,2030686.5555555555,2076632.4061111102,2304051.331805555
decode,json_crlf_tcp,1,core,2290067.2583333333,2124118.833333333,2180541.0324999993,2424922.291944444
decode,json_crlf_tcp,2,current,2313611.7250000006,2137769.277777778,2207020.202916667,2437663.3557638894
decode,json_crlf_tcp,2,baseline,2201251.7321428573,2197615.428571428,2179832.745,2227496.9083928573
decode,json_crlf_tcp,2,core,2298832.717857143,2287666.214285714,2279445.438214286,2322472.958660715
decode,json_crlf_tcp,3,current,2267835.305555555,2103553.722222222,2164898.140347223,2388918.6837500003
decode,json_crlf_tcp,3,baseline,2313330.5416666665,2156294.0,2209677.5759722223,2436936.0273611112
decode,json_crlf_tcp,3,core,2446974.871875,2250130.0625,2313227.8515625,2596379.246171875
decode,large_utf8_tcp,1,current,224562.03585955832,212144.77500000002,215127.69240207828,236229.39909920748
decode,large_utf8_tcp,1,baseline,221290.30899384097,212125.38666666666,213935.40619408878,231215.20068251007
decode,large_utf8_tcp,1,core,1027350.1621470128,913417.2129629629,960959.0323186825,1102280.468507585
decode,large_utf8_tcp,2,current,258309.6867301911,236733.87410287082,245521.29788746402,272771.8882328967
decode,large_utf8_tcp,2,baseline,235126.3903899206,227576.6847826087,227918.2725064792,244290.90148595936
decode,large_utf8_tcp,2,core,1024539.373023167,967915.2166821994,975828.8545589545,1092294.1039852486
decode,large_utf8_tcp,3,current,243851.43499795083,227935.88888888888,234750.97688696694,254530.59962958063
decode,large_utf8_tcp,3,baseline,222677.30362213255,222994.57886904763,221151.30999020234,224356.73812867768
decode,large_utf8_tcp,3,core,1005844.1694753353,958830.5393374742,979951.765091366,1034781.5592370984
decode,large_utf8_event,1,current,182601.86260241864,173113.59743589745,176706.41430304927,189799.03360496266
decode,large_utf8_event,1,baseline,189465.37354939,173269.18001638004,180658.65841309293,199391.80169311352
decode,large_utf8_event,1,core,942229.1018141428,879654.6929590018,903880.762380806,990217.4869042174
decode,large_utf8_event,2,current,191188.25593791294,185684.34141935484,185831.38829377416,197817.1801590031
decode,large_utf8_event,2,baseline,190762.24004174242,184423.06682769727,185556.06009012443,197047.19703538495
decode,large_utf8_event,2,core,968035.6529268533,922111.2955357144,924870.0661861252,1023172.5002114051
decode,large_utf8_event,3,current,204842.40172418585,197555.74384615384,196787.3010019089,213696.361267866
decode,large_utf8_event,3,baseline,199805.29602154758,183451.625,190843.50306103146,209524.25469848097
decode,large_utf8_event,3,core,1040499.688024077,926863.1214285714,968152.9064859917,1121817.2169726465
decode,large_json_utf8_tcp,1,current,240959.00876196264,218045.30536130536,228466.88656994127,255056.52907049117
decode,large_json_utf8_tcp,1,baseline,222959.10471019297,211904.03166666668,216283.4392051542,231470.9168223471
decode,large_json_utf8_tcp,1,core,1145988.0834301077,1015108.5460526316,1082931.177597319,1217234.9154149564
decode,large_json_utf8_tcp,2,current,233590.2298501072,223677.84077380953,224940.65858370782,244453.15041251582
decode,large_json_utf8_tcp,2,baseline,240886.4311787127,227636.76103896103,231614.39808565716,252146.77452017108
decode,large_json_utf8_tcp,2,core,1113885.5266190616,1063344.7583333333,1069282.7869505791,1171224.340727231
decode,large_json_utf8_tcp,3,current,253636.6282970205,224785.5864045864,239451.53982209347,268524.2885742273
decode,large_json_utf8_tcp,3,baseline,234438.09978619794,228630.78214285715,229920.2848415541,239322.7706742496
decode,large_json_utf8_tcp,3,core,1154305.1521417089,1054760.87,1095917.0976473945,1222890.8280064017
decode,large_json_escaped_tcp,1,current,116605.32927681257,111972.75696594428,113738.87594084792,119890.10584783589
decode,large_json_escaped_tcp,1,baseline,114951.87459534888,114455.50496562262,114343.06376515995,115697.45989823577
decode,large_json_escaped_tcp,1,core,140419.6238362832,123311.58698470314,132005.7959201347,150017.41888117316
decode,large_json_escaped_tcp,2,current,131084.1469980348,122063.68103448275,124896.58419169222,138299.47821056956
decode,large_json_escaped_tcp,2,baseline,134423.3989297698,122705.9859375,127334.04663146725,142577.34935947796
decode,large_json_escaped_tcp,2,core,144883.63400150408,135374.86005291005,138258.80695753044,152548.03741693503
decode,large_json_escaped_tcp,3,current,137556.07947151054,121946.37132352941,129139.15331228089,146727.487777365
decode,large_json_escaped_tcp,3,baseline,143885.27272740664,124324.37653061224,133827.41531261287,155214.75145608583
decode,large_json_escaped_tcp,3,core,154090.53631709947,137516.89618331857,145423.70220393917,164025.15929839938
decode,large_json_base64_tcp,1,current,129049.09237933683,113903.66313352826,122021.57805645702,137357.74156941057
decode,large_json_base64_tcp,1,baseline,128313.35873986148,115622.6617063492,121179.28829099059,136180.91623135234
decode,large_json_base64_tcp,1,core,141287.0752450254,126511.0181972789,133286.72292219434,150134.9481116065
decode,large_json_base64_tcp,2,current,137094.31774296367,122559.84993734336,129169.82370648858,145801.91532886346
decode,large_json_base64_tcp,2,baseline,130439.39294334225,122781.50265700484,125718.89947118964,135617.94421992087
decode,large_json_base64_tcp,2,core,139116.0268723334,136064.16808712122,136834.8206612616,141844.09486434382
decode,large_json_base64_tcp,3,current,142309.4184524577,122548.98042870456,132843.39021582284,152558.0597292767
decode,large_json_base64_tcp,3,baseline,128558.45652094207,125418.90542328043,126078.51078355331,131120.0412559379
decode,large_json_base64_tcp,3,core,138883.05253475503,133790.56666666665,136045.9921996388,142077.8019889285
decode,mixed_json_tcp,1,current,459449.8519782818,454907.76927083335,455932.0165547864,463230.13130766223
decode,mixed_json_tcp,1,baseline,542489.72719153,526821.2365384616,532550.5851738817,554207.9443933234
