kind,case,bytes,chunks,events,validation,current_ns,current_ns_min,current_ns_max,current_mib_s,baseline_ns,baseline_ns_min,baseline_ns_max,baseline_mib_s,core_ns,core_ns_min,core_ns_max,core_mib_s,speedup_vs_baseline,speedup_vs_baseline_min,speedup_vs_baseline_max,time_change_vs_baseline_pct,consistency_vs_baseline,speedup_vs_core,speedup_vs_core_min,speedup_vs_core_max,time_change_vs_core_pct,consistency_vs_core
decode,large_json_base64_tcp,2561216,1755,64,all_three_match_reference,137094.31774296367,129049.09237933683,142309.4184524577,17816.682399253663,128558.45652094207,128313.35873986148,130439.39294334225,18999.65186320402,139116.0268723334,138883.05253475503,141287.0752450254,17557.760761887555,0.9514573258090926,0.9033727909153848,0.9942988081054249,5.101928680787449,mixed_or_near_boundary,1.0147468484664712,0.9759231261362554,1.0948319948637477,-1.453253931141274,mixed_or_near_boundary
decode,mixed_json_tcp,1620190,1110,10010,all_three_match_reference,505969.1976346973,459449.8519782818,558201.5745276858,3053.8095953694933,590237.9970520934,542489.72719153,594194.7017334894,2617.8145060387756,810813.0170409254,696162.628220998,873720.012531035,1905.659576528792,1.1665492678434488,1.0644805189527793,1.180737625348443,-14.277088198027121,all_rounds_faster_over_3pct,1.5652410390822,1.515209168581701,1.6024948175329856,-36.11207634918879,all_rounds_faster_over_3pct
decode,mixed_json_whole,1620190,1,10010,all_three_match_reference,467507.3374693849,440383.65969781147,470963.01348751626,3305.0467166184885,516822.86593632837,515665.85627373616,525504.1086901327,2989.677300556202,697207.2215973162,626574.6244096953,699681.062629,2216.1755398320593,1.1240553175800065,1.0949179479195021,1.1735741201001169,-11.036406806658494,all_rounds_faster_over_3pct,1.4803863607769212,1.340245540960578,1.5887988739389578,-32.45006665184417,all_rounds_faster_over_3pct
decode,mixed_multiline_tcp,570190,391,10010,all_three_match_reference,433747.0802004795,422244.20669402863,534566.0150128215,1253.6696690162032,478930.4424348834,456377.80070554715,549426.9410908499,1135.3956864949398,726616.5419172292,714612.9599343027,754507.5991548056,748.366610312627,1.0808385135198617,1.0277999829032751,1.1041698360563488,-7.479240655165298,mixed_or_near_boundary,1.6475337646169421,1.4114395190960818,1.7208443133093316,-39.303216633468885,all_rounds_faster_over_3pct
decode,mixed_multiline_whole,570190,1,10010,all_three_match_reference,415989.2612283801,408422.1466509878,494379.3091530746,1307.1865289646128,480967.4824425716,443640.62305582047,553688.6623392471,1130.5869488518022,732150.4746891062,712637.8300000302,802127.8327591333,742.7101084685954,1.1199673046345242,1.086230574648363,1.1562016793950798,-10.711679183676948,all_rounds_faster_over_3pct,1.7926316696894415,1.4414798855980768,1.9282416819860195,-44.21609207800944,all_rounds_faster_over_3pct
decode,alternating_sizes_tcp,2569024,1760,128,all_three_match_reference,129446.21100250159,118835.81973280548,135159.46218039544,18926.874630450966,128278.51233770783,122938.69640859317,137494.67981392005,19099.162925910092,143750.4427110416,127978.23275971161,148183.7549062802,17043.510689953946,1.0172775001901668,0.990979275053704,1.034525589043882,-1.6984058122721635,mixed_or_near_boundary,1.0963624189958778,1.0769331422753026,1.1105032862511794,-8.789285123812707,all_rounds_faster_over_3pct
decode,varied_sizes_tcp,627840,431,64,all_three_match_reference,34951.205471250316,33254.739251549356,36966.80045556047,17131.16542732741,33674.57295607123,29629.29564550672,38535.030981274474,17780.622892934112,37611.166506547124,34155.834114799785,37680.38930932767,15919.604160861973,1.0126247781209805,0.8477331538644292,1.042422674031507,-1.2467380212053403,mixed_or_near_boundary,1.0270967351881566,1.0174309391953267,1.0780855424377935,-2.638187257327096,mixed_or_near_boundary
decode,comment_crlf_tcp,600000,411,0,all_three_match_reference,391291.51346485125,371570.4956806246,397375.070643782,1462.3485819483528,455236.17705351795,446305.42100438336,478660.50181273895,1256.9400647094908,1215656.6041894627,1075904.4318310225,1240992.790612524,470.69590859111617,1.16341950026578,1.123133920508224,1.2882091214910703,-14.046481104059815,all_rounds_faster_over_3pct,3.0592170822895204,2.89555937389548,3.1715300432244087,-67.31189800850618,all_rounds_faster_over_3pct
encode,small_json,37,1,1,identical_wire,14.12795742466125,14.12445394358168,15.466112862798159,2497.597398293215,14.862376941844953,14.515665058897039,16.8776830206824,2374.179436109161,,,,,1.05198341806309,1.0276974328974418,1.0912685799209187,-4.941467438602965,mixed_or_near_boundary,,,,,
encode,metadata_json,79,1,1,identical_wire,80.01482931052905,70.40563287580405,82.3269581493121,941.5788503866722,80.53444893171257,70.14487339186722,84.98033160305768,935.5036508659404,,,,,0.996296326397679,0.9782269470669795,1.0620572753240283,0.37174417933591997,mixed_or_near_boundary,,,,,
encode,large_ascii,40008,1,1,identical_wire,711.4853062884182,640.0260886816675,724.4895150671484,53626.690127756956,694.5489923952712,658.4856187565924,737.7004740830828,54934.35663796527,,,,,1.0288418400458457,0.9586736287424363,1.0368456910676347,-2.803330786446301,mixed_or_near_boundary,,,,,
encode,large_utf8,40016,1,1,identical_wire,719.0239372633253,718.9787232542843,720.2203683349377,53075.05003319034,723.2691502286639,649.9383834628931,736.2220957591602,52763.52715064286,,,,,1.0059041330132852,0.9039744326801539,1.0222178212776967,-0.5869478829556685,mixed_or_near_boundary,,,,,
encode,empty_with_retry,49,1,1,identical_wire,46.01195176383488,45.9688373635242,46.955581849044464,1015.6065916037882,46.792136545489605,46.103643603196694,47.78789310222192,998.6729598995125,,,,,1.0169561331729455,1.0029325570844099,1.0177255018552047,-1.667341650228471,all_rounds_within_3pct,,,,,
