run,scenario,implementation,mean_ns,mean_ci95_low,mean_ci95_high,median_ns
2,large_data_event_chunks,sse_baseline,94718.45183146084,90237.05833540595,100095.10461054444,87853.42213192213
2,large_data_event_chunks,sse_stream,75582.41373596317,74030.36798826308,77373.37292673568,72563.40324675324
2,large_data_tcp_chunks,sse_core,122057.88735184493,121627.61894983292,122512.84522553813,121628.00530503978
2,large_data_tcp_chunks,sse_baseline,142396.0596921273,137626.35716974974,147894.0181397494,133542.1795131846
2,large_data_tcp_chunks,sse_stream,108093.17716669272,106422.04876498578,109975.65179872929,105444.60635964913
2,large_utf8_tcp,sse_core,1020338.5022375195,1012358.076331037,1034622.2953436705,1012572.2045019157
2,large_utf8_tcp,sse_baseline,1122405.963947337,1080360.3047344724,1170450.3068072556,1039708.2198340874
2,large_utf8_tcp,sse_stream,206875.25548652245,203510.6540688313,211057.91915936262,202855.82757575758
2,medium_data_10b_chunks,sse_core,1708469.4840909094,1693085.799943182,1728761.643181818,1687795.3636363638
2,medium_data_10b_chunks,sse_baseline,1782108.040432046,1754362.3680821578,1819941.4967845818,1746879.5913312694
2,medium_data_10b_chunks,sse_stream,1637080.7389285003,1616596.2443943874,1662611.2892583269,1623235.5
2,metadata_events_tcp_chunks,sse_core,4935371.255000002,4703588.891500001,5220870.23475,4544337.9
2,metadata_events_tcp_chunks,sse_baseline,4593894.705,4399524.288875001,4837428.170875001,4337349.7
2,metadata_events_tcp_chunks,sse_stream,4093788.6450000005,4040610.777000001,4165593.855875001,4032384.0999999996
2,mixed_multiline_tcp,sse_core,632643.1627358778,610264.9345260519,660720.7049392639,600841.0671182266
2,mixed_multiline_tcp,sse_baseline,697453.1408072773,669522.1965406603,728491.2632366454,657832.0087440382
2,mixed_multiline_tcp,sse_stream,498558.5177393419,479392.7031141202,522733.94489860843,473805.6160714286
2,mixed_tcp,sse_core,515635.80018179276,505601.8806464328,528372.5117417289,503472.696969697
2,mixed_tcp,sse_baseline,611533.4278053313,603617.3168690082,619837.5325301775,599783.682967033
2,mixed_tcp,sse_stream,340892.6338173583,328512.2334908472,354274.57681838376,353471.5807291666
2,mixed_whole,sse_core,568704.5873272192,533896.2583865483,607199.7849558904,498154.08186070685
2,mixed_whole,sse_baseline,623001.7372843429,608301.9277041506,640784.4147015946,623764.25
2,mixed_whole,sse_stream,320631.3854438927,313456.22692882246,327920.0883778078,307250.9987228608
2,multiline_data_tcp_chunks,sse_core,2908199.78125,2763725.7171874996,3086515.388359375,2721134.3125
2,multiline_data_tcp_chunks,sse_baseline,3302406.796428571,3158232.4112499994,3474140.2531249993,3096728.4285714286
2,multiline_data_tcp_chunks,sse_stream,2978804.175,2824694.34546875,3168487.1199218747,2865917.5625
2,small_data_4b_chunks,sse_core,9143835.5125,9004896.6559375,9301403.5740625,8833323.25
2,small_data_4b_chunks,sse_baseline,10991065.1875,10540544.050625,11542132.508750001,10239587.0
2,small_data_4b_chunks,sse_stream,9807798.0125,9703470.4290625,9913168.3284375,9620882.25
2,small_data_event_chunks,sse_core,4688333.300000001,4474852.890125002,4959257.552,4409107.199999999
2,small_data_event_chunks,sse_baseline,4799886.775,4726302.46140625,4875343.984062499,4673107.5
2,small_data_event_chunks,sse_stream,4482117.5125,4305023.030625,4686956.389375001,4489791.666666666
2,small_data_tcp_chunks,sse_core,3445391.0464285715,3303627.686339286,3622067.114821428,3251340.3571428573
2,small_data_tcp_chunks,sse_baseline,4605377.4,4424015.929374999,4810907.670729167,4611575.5
2,small_data_tcp_chunks,sse_stream,3389612.3249999993,3294227.567291665,3491848.4215624994,3306390.666666667
2,small_data_whole_stream_chunk,sse_core,3217156.9400000004,3205432.378624999,3230437.1605,3207750.0
2,small_data_whole_stream_chunk,sse_baseline,4545865.570833335,4372074.985833333,4743265.175833333,4349755.75
2,small_data_whole_stream_chunk,sse_stream,3280773.337499999,3221102.0670833336,3341258.0977083324,3129763.25
3,keepalive_4b_chunks,sse_core,9235605.616666669,8998641.612083334,9555358.801249998,8914743.833333332
3,keepalive_4b_chunks,sse_baseline,9969349.8875,9891951.3078125,10063803.911249999,9919440.0
