run,scenario,variant,mean_ns,mean_ci_low,mean_ci_high,median_ns,ratio_to_baseline,ratio_to_step1,ratio_to_core
full,large_data_event_chunks,step1,76796.9177361422,75878.40458248256,77899.9165101635,75618.63309822361,0.837873946519343,1.0,0.8114173315351362
full,large_data_event_chunks,step2,77070.89467644983,75884.12904929776,78504.49174914851,75664.51592741936,0.8408631047694118,1.003567551255754,0.814312104455195
full,large_data_tcp_chunks,baseline,158541.43708259735,156124.59200050042,161535.31049125816,155903.82797619049,1.0,1.1491165598698236,1.213030795550154
full,large_data_tcp_chunks,core,130698.60853012637,128555.41845059763,133310.41222767052,128239.92451298703,0.8243813789957931,0.9473102942523871,1.0
full,large_data_tcp_chunks,step1,137968.10751779395,135744.03687530546,140674.62170567206,135403.8163265306,0.870233738615066,1.0,1.0556203242668183
full,large_data_tcp_chunks,step2,135760.75622405924,134226.19872092077,137690.35877168775,133860.3676948052,0.8563108719225891,0.9840010033228148,1.0387314582065044
full,large_json_base64_tcp,baseline,163029.93153019372,158451.94280343843,168851.9770140238,156643.44280464674,1.0,1.1351271581456908,1.1201286310211742
full,large_json_base64_tcp,core,145545.72306715004,137671.98632176616,154406.9119247546,130546.3701814059,0.8927546107703201,1.0133900042451758,1.0
full,large_json_base64_tcp,step1,143622.6156341061,139157.8788923404,149310.90096190147,137158.36766917293,0.8809585717547007,1.0,0.9867869189659617
full,large_json_base64_tcp,step2,144398.2293618454,139691.40856141032,150136.5011037225,136589.56087262492,0.885716064568808,1.0054003592979763,0.9921159228789209
full,large_json_escaped_tcp,baseline,160928.7646175046,157718.790694528,164991.1060475456,156694.9466374269,1.0,1.1540206959962207,1.2054563391161401
full,large_json_escaped_tcp,core,133500.28482615983,129822.59014262729,138008.66283003174,128225.90758928572,0.8295613599188636,0.9573309779451382,1.0
full,large_json_escaped_tcp,step1,139450.50134354926,136522.90675329225,143237.64218865545,135890.21428571426,0.8665355859469569,1.0,1.044570815149478
full,large_json_escaped_tcp,step2,139553.2656065985,135965.57466899755,144167.01748894778,134591.18506493507,0.8671741558340338,1.0007369228655267,1.0453405832678235
full,large_json_utf8_tcp,baseline,1060837.858452119,1048666.7474841927,1077637.2453090765,1046826.7817047817,1.0,4.482953587946022,1.0167666134946964
full,large_json_utf8_tcp,core,1043344.5044049455,1025941.9406227618,1065541.2229945464,1021242.9186507936,0.9835098701391576,4.409029101120662,1.0
full,large_json_utf8_tcp,step1,236638.15331582958,233110.94960986424,241008.47607669304,232956.38950892858,0.22306722128215814,1.0,0.22680730316473202
full,large_json_utf8_tcp,step2,238374.58865352347,233842.80869487915,244808.7058285677,233005.58974358975,0.22470407400555883,1.0073379347893083,0.2284716003650937
full,large_utf8_event,baseline,894882.4989079756,879075.0710364814,919510.8637423045,878819.5561330562,1.0,5.114370490533506,1.0166291038290791
full,large_utf8_event,core,880244.8164600527,878074.0564827803,883168.5717970983,877836.4629629629,0.9836429000837705,5.030714221411235,1.0
full,large_utf8_event,step1,174974.12449183472,174758.13176289134,175298.8929432173,174748.4321603128,0.19552748512274573,1.0,0.19877893197429058
full,large_utf8_event,step2,174767.27610244826,174579.87571483786,175008.63120945738,174551.37,0.1952963392576306,0.9988178344084464,0.1985439423605848
full,large_utf8_tcp,baseline,952517.5335370183,944078.2049642082,963679.0301794119,945185.3987394958,1.0,4.03267069111302,1.0031162445217587
full,large_utf8_tcp,core,949558.4771345581,918707.4137675624,988237.6296987564,914609.0088235294,0.9968934362903827,4.020142942691171,1.0
full,large_utf8_tcp,step1,236200.17762326208,234885.53018069084,237843.3013801604,234817.8541666667,0.24797462441050433,1.0,0.24874737397535876
full,large_utf8_tcp,step2,236389.48024132647,235292.17168967286,238124.4354010985,235845.54836956522,0.24817336365823392,1.000801449939493,0.24894673254318034
full,medium_data_10b_chunks,baseline,2193382.2888888894,2142053.507777778,2257109.720416667,2110427.722222222,1.0,1.024010605068668,0.9452945823502731
full,medium_data_10b_chunks,core,2320316.153125,2284990.6720312503,2360533.2982031247,2266410.3125,1.0578712907818784,1.083271420558324,1.0
full,medium_data_10b_chunks,step1,2141952.708333334,2112530.971458333,2177015.0307638883,2106882.777777778,0.97655238632313,1.0,0.9231296801724858
full,medium_data_10b_chunks,step2,2160436.6083333334,2131515.663680556,2193653.4293750003,2131509.1666666665,0.9849795082587972,1.00862946223233,0.9310957928830771
full,metadata_events_tcp_chunks,baseline,4026027.1800000006,3950000.1253750003,4118533.0783749996,3907829.7,1.0,0.9827475175711436,0.8727549166772081
full,metadata_events_tcp_chunks,core,4613010.025,4522521.98640625,4719532.9715625,4484928.25,1.1457970398004118,1.1260291965042195,1.0
full,metadata_events_tcp_chunks,step1,4096705.5199999996,4012681.140125001,4197770.788374998,3982017.7,1.0175553558980193,1.0,0.8880764398512225
full,metadata_events_tcp_chunks,step2,4208095.749999999,4121924.6311249994,4312442.8805,4092578.7,1.0452228864485704,1.0271901969658779,0.912223413171533
full,mixed_json_tcp,baseline,908669.2340000141,848161.6187684749,978911.8178657908,809468.6529411764,1.0,1.1208751678635283,1.3851897273843825
