mode,scenario,variant,reference,rounds,ratio_median,ratio_p10,ratio_p90
bytes_tokio,large_data_event_chunks,step1,baseline,31,0.8351325430929954,0.8307096814106706,0.8401113954526891
bytes_tokio,large_data_event_chunks,step1,core,31,0.8162030531495121,0.7902945831657725,0.8209730722729242
bytes_tokio,large_data_tcp_chunks,baseline,step1,31,1.1418762202392314,1.1046031477115776,1.1954542223896147
bytes_tokio,large_data_tcp_chunks,baseline,core,31,1.205509991924507,1.1538825066135736,1.2433617106270802
bytes_tokio,large_data_tcp_chunks,core,baseline,31,0.8295244391990269,0.8042711879036852,0.8666393625593738
bytes_tokio,large_data_tcp_chunks,core,step1,31,0.9435285966684466,0.9256849560910243,1.016452878727705
bytes_tokio,large_data_tcp_chunks,step1,baseline,31,0.8757516640380625,0.8365021272007239,0.9053025080289826
bytes_tokio,large_data_tcp_chunks,step1,core,31,1.0598512896492498,0.9838134368330985,1.0802811403814887
bytes_tokio,large_json_base64_tcp,baseline,step1,31,1.1132147283921763,1.0774175993795876,1.1366886668178047
bytes_tokio,large_json_base64_tcp,baseline,core,31,1.2182300158728445,1.1982110272910234,1.2388924992541577
bytes_tokio,large_json_base64_tcp,core,baseline,31,0.820863044721086,0.8071725356332559,0.834577530354441
bytes_tokio,large_json_base64_tcp,core,step1,31,0.9109094565775263,0.8853304006396502,0.9408550363529348
bytes_tokio,large_json_base64_tcp,step1,baseline,31,0.8982992898812135,0.8797483683896763,0.9281452248188936
bytes_tokio,large_json_base64_tcp,step1,core,31,1.0978039505234747,1.0628629930880007,1.129521813864633
bytes_tokio,large_json_escaped_tcp,baseline,step1,31,1.1368290345067968,1.0825400027184953,1.2516472627350095
bytes_tokio,large_json_escaped_tcp,baseline,core,31,1.2136643722167084,1.1114943758438518,1.280883489125497
bytes_tokio,large_json_escaped_tcp,core,baseline,31,0.8239510221211659,0.7807111329717696,0.899689662613718
bytes_tokio,large_json_escaped_tcp,core,step1,31,0.9417290956835151,0.904682626661364,1.0101061469505843
bytes_tokio,large_json_escaped_tcp,step1,baseline,31,0.8796397432212322,0.7989471393201244,0.9237533924739785
bytes_tokio,large_json_escaped_tcp,step1,core,31,1.0618765041704392,0.9899949653993357,1.105360013036168
bytes_tokio,large_json_utf8_tcp,baseline,step1,31,4.47578029933351,4.38046385561168,4.5453870846869675
bytes_tokio,large_json_utf8_tcp,baseline,core,31,1.0331865583585398,1.0132243150610736,1.0502183341909872
bytes_tokio,large_json_utf8_tcp,core,baseline,31,0.9678794133643547,0.9521829580039927,0.9869482849310851
bytes_tokio,large_json_utf8_tcp,core,step1,31,4.317408339923548,4.247155279521911,4.379496791520198
bytes_tokio,large_json_utf8_tcp,step1,baseline,31,0.22342472890121756,0.22000326514961005,0.22828632605173316
bytes_tokio,large_json_utf8_tcp,step1,core,31,0.23162043551750489,0.2283367353839031,0.23545171631035042
bytes_tokio,large_utf8_event,baseline,step1,31,5.022136154613323,4.990012690230303,5.10286668962445
bytes_tokio,large_utf8_event,baseline,core,31,1.0009572930616142,0.9797018773716499,1.0230491535428639
bytes_tokio,large_utf8_event,core,baseline,31,0.9990436224719577,0.9774701406447153,1.0207186727893245
bytes_tokio,large_utf8_event,core,step1,31,5.035811500479924,4.98182689482647,5.156418632454464
bytes_tokio,large_utf8_event,step1,baseline,31,0.1991184566116158,0.19596827838620176,0.20040029195874595
bytes_tokio,large_utf8_event,step1,core,31,0.19857772672878996,0.19393305146056347,0.20072957593899549
bytes_tokio,large_utf8_tcp,baseline,step1,31,4.002111812078271,3.8908506127253104,4.156070250840317
bytes_tokio,large_utf8_tcp,baseline,core,31,1.0325808384108475,0.9860625351970469,1.0586790239039414
bytes_tokio,large_utf8_tcp,core,baseline,31,0.9684471789530883,0.9445733573830913,1.0141344633889453
bytes_tokio,large_utf8_tcp,core,step1,31,3.891666843276465,3.766795078283963,3.9923288174771763
bytes_tokio,large_utf8_tcp,step1,baseline,31,0.24986808139193556,0.24061190972356872,0.25701320855892723
bytes_tokio,large_utf8_tcp,step1,core,31,0.25695930311395354,0.25048037015946945,0.2654776751103672
bytes_tokio,medium_data_10b_chunks,baseline,step1,31,1.0025306464505028,0.9822851323623906,1.021354602174053
bytes_tokio,medium_data_10b_chunks,baseline,core,31,1.0500499755389048,1.030970031979776,1.0755658853297807
bytes_tokio,medium_data_10b_chunks,core,baseline,31,0.9523356252513426,0.9297431367427469,0.9699602985352502
bytes_tokio,medium_data_10b_chunks,core,step1,31,0.9530008065633649,0.9270672596100795,0.9778331495786865
bytes_tokio,medium_data_10b_chunks,step1,baseline,31,0.9974757415551706,0.9790918823603502,1.0180343436482697
bytes_tokio,medium_data_10b_chunks,step1,core,31,1.0493170552563535,1.0226693587048714,1.0786703873250745
bytes_tokio,metadata_events_tcp_chunks,baseline,step1,31,1.0054158131543134,0.993825949955683,1.0224205077564295
bytes_tokio,metadata_events_tcp_chunks,baseline,core,31,0.8596107466905779,0.8521948926341197,0.867434930044872
bytes_tokio,metadata_events_tcp_chunks,core,baseline,31,1.16331723847091,1.1528242238853241,1.1734404989321365
bytes_tokio,metadata_events_tcp_chunks,core,step1,31,1.1681899570698173,1.1590629094186962,1.1835014140978763
bytes_tokio,metadata_events_tcp_chunks,step1,baseline,31,0.9946133598820948,0.9780711482346649,1.0062124057483026
bytes_tokio,metadata_events_tcp_chunks,step1,core,31,0.8560251643562407,0.8449504057096964,0.8627659395136104
bytes_tokio,mixed_json_tcp,baseline,step1,31,1.0235970581213016,0.9813105280460048,1.0439315043076192
