mode,scenario,variant,round,iterations,total_ns,ns_per_iteration,events
borrowed_ready,metadata_events_tcp_chunks,step1,21,1,4206057,4206057,50000
borrowed_ready,metadata_events_tcp_chunks,core,21,1,4506110,4506110,50000
borrowed_ready,metadata_events_tcp_chunks,step2,21,1,4042107,4042107,50000
borrowed_ready,metadata_events_tcp_chunks,core,22,1,4491844,4491844,50000
borrowed_ready,metadata_events_tcp_chunks,step1,22,1,4177967,4177967,50000
borrowed_ready,metadata_events_tcp_chunks,step2,22,1,4124728,4124728,50000
borrowed_ready,metadata_events_tcp_chunks,baseline,22,1,3988847,3988847,50000
borrowed_ready,metadata_events_tcp_chunks,step1,23,1,4066737,4066737,50000
borrowed_ready,metadata_events_tcp_chunks,baseline,23,1,3991982,3991982,50000
borrowed_ready,metadata_events_tcp_chunks,step2,23,1,4049488,4049488,50000
borrowed_ready,metadata_events_tcp_chunks,core,23,1,4481845,4481845,50000
borrowed_ready,metadata_events_tcp_chunks,baseline,24,1,3966043,3966043,50000
borrowed_ready,metadata_events_tcp_chunks,step2,24,1,4048425,4048425,50000
borrowed_ready,metadata_events_tcp_chunks,step1,24,1,4137370,4137370,50000
borrowed_ready,metadata_events_tcp_chunks,core,24,1,4477971,4477971,50000
borrowed_ready,metadata_events_tcp_chunks,core,25,1,4477144,4477144,50000
borrowed_ready,metadata_events_tcp_chunks,step1,25,1,4213176,4213176,50000
borrowed_ready,metadata_events_tcp_chunks,baseline,25,1,4019046,4019046,50000
borrowed_ready,metadata_events_tcp_chunks,step2,25,1,4060116,4060116,50000
borrowed_ready,metadata_events_tcp_chunks,core,26,1,4444244,4444244,50000
borrowed_ready,metadata_events_tcp_chunks,step2,26,1,4078329,4078329,50000
borrowed_ready,metadata_events_tcp_chunks,step1,26,1,4195197,4195197,50000
borrowed_ready,metadata_events_tcp_chunks,baseline,26,1,3993957,3993957,50000
borrowed_ready,metadata_events_tcp_chunks,baseline,27,1,3991692,3991692,50000
borrowed_ready,metadata_events_tcp_chunks,step1,27,1,4149796,4149796,50000
borrowed_ready,metadata_events_tcp_chunks,step2,27,1,4081606,4081606,50000
borrowed_ready,metadata_events_tcp_chunks,core,27,1,4490458,4490458,50000
borrowed_ready,metadata_events_tcp_chunks,step2,28,1,4034205,4034205,50000
borrowed_ready,metadata_events_tcp_chunks,step1,28,1,4132159,4132159,50000
borrowed_ready,metadata_events_tcp_chunks,core,28,1,4482809,4482809,50000
borrowed_ready,metadata_events_tcp_chunks,baseline,28,1,3973958,3973958,50000
borrowed_ready,metadata_events_tcp_chunks,step1,29,1,4123112,4123112,50000
borrowed_ready,metadata_events_tcp_chunks,baseline,29,1,3948175,3948175,50000
borrowed_ready,metadata_events_tcp_chunks,core,29,1,4494780,4494780,50000
borrowed_ready,metadata_events_tcp_chunks,step2,29,1,4055398,4055398,50000
borrowed_ready,metadata_events_tcp_chunks,step1,30,1,4137867,4137867,50000
borrowed_ready,metadata_events_tcp_chunks,step2,30,1,4064184,4064184,50000
borrowed_ready,metadata_events_tcp_chunks,baseline,30,1,3951439,3951439,50000
borrowed_ready,metadata_events_tcp_chunks,core,30,1,4532176,4532176,50000
borrowed_ready,keepalive_4b_chunks,baseline,0,1,2995300,2995300,0
borrowed_ready,keepalive_4b_chunks,step2,0,1,2959860,2959860,0
borrowed_ready,keepalive_4b_chunks,step1,0,1,3608603,3608603,0
borrowed_ready,keepalive_4b_chunks,core,0,1,4526208,4526208,0
borrowed_ready,keepalive_4b_chunks,step2,1,1,2940000,2940000,0
borrowed_ready,keepalive_4b_chunks,baseline,1,1,2964466,2964466,0
borrowed_ready,keepalive_4b_chunks,core,1,1,4462662,4462662,0
borrowed_ready,keepalive_4b_chunks,step1,1,1,3679700,3679700,0
borrowed_ready,keepalive_4b_chunks,step1,2,1,3652003,3652003,0
borrowed_ready,keepalive_4b_chunks,baseline,2,1,3071005,3071005,0
borrowed_ready,keepalive_4b_chunks,core,2,1,4535533,4535533,0
borrowed_ready,keepalive_4b_chunks,step2,2,1,2997599,2997599,0
borrowed_ready,keepalive_4b_chunks,step2,3,1,2941238,2941238,0
borrowed_ready,keepalive_4b_chunks,core,3,1,4527281,4527281,0
borrowed_ready,keepalive_4b_chunks,step1,3,1,3638208,3638208,0
borrowed_ready,keepalive_4b_chunks,baseline,3,1,2995228,2995228,0
borrowed_ready,keepalive_4b_chunks,baseline,4,1,2969461,2969461,0
borrowed_ready,keepalive_4b_chunks,core,4,1,4562218,4562218,0
borrowed_ready,keepalive_4b_chunks,step1,4,1,3641300,3641300,0
borrowed_ready,keepalive_4b_chunks,step2,4,1,3008076,3008076,0
borrowed_ready,keepalive_4b_chunks,core,5,1,4649042,4649042,0
borrowed_ready,keepalive_4b_chunks,baseline,5,1,3000039,3000039,0
borrowed_ready,keepalive_4b_chunks,step2,5,1,3052566,3052566,0
borrowed_ready,keepalive_4b_chunks,step1,5,1,3692821,3692821,0
borrowed_ready,keepalive_4b_chunks,step1,6,1,3661247,3661247,0
borrowed_ready,keepalive_4b_chunks,baseline,6,1,3063552,3063552,0
borrowed_ready,keepalive_4b_chunks,step2,6,1,2979539,2979539,0
borrowed_ready,keepalive_4b_chunks,core,6,1,4652976,4652976,0
borrowed_ready,keepalive_4b_chunks,baseline,7,1,2983926,2983926,0
borrowed_ready,keepalive_4b_chunks,core,7,1,4634278,4634278,0
borrowed_ready,keepalive_4b_chunks,step1,7,1,3625506,3625506,0
borrowed_ready,keepalive_4b_chunks,step2,7,1,3032862,3032862,0
borrowed_ready,keepalive_4b_chunks,baseline,8,1,3062013,3062013,0
borrowed_ready,keepalive_4b_chunks,step2,8,1,2964493,2964493,0
borrowed_ready,keepalive_4b_chunks,core,8,1,4472572,4472572,0
borrowed_ready,keepalive_4b_chunks,step1,8,1,3611978,3611978,0
borrowed_ready,keepalive_4b_chunks,core,9,1,4731170,4731170,0
borrowed_ready,keepalive_4b_chunks,step1,9,1,3562145,3562145,0
borrowed_ready,keepalive_4b_chunks,baseline,9,1,3044691,3044691,0
borrowed_ready,keepalive_4b_chunks,step2,9,1,2939376,2939376,0
borrowed_ready,keepalive_4b_chunks,step1,10,1,3732957,3732957,0
borrowed_ready,keepalive_4b_chunks,step2,10,1,2965227,2965227,0
borrowed_ready,keepalive_4b_chunks,core,10,1,4495524,4495524,0
borrowed_ready,keepalive_4b_chunks,baseline,10,1,2962276,2962276,0
borrowed_ready,keepalive_4b_chunks,step2,11,1,3059233,3059233,0
borrowed_ready,keepalive_4b_chunks,core,11,1,4472093,4472093,0
borrowed_ready,keepalive_4b_chunks,baseline,11,1,3005395,3005395,0
borrowed_ready,keepalive_4b_chunks,step1,11,1,3734419,3734419,0
borrowed_ready,keepalive_4b_chunks,step1,12,1,3742715,3742715,0
borrowed_ready,keepalive_4b_chunks,step2,12,1,3030078,3030078,0
borrowed_ready,keepalive_4b_chunks,core,12,1,4638407,4638407,0
borrowed_ready,keepalive_4b_chunks,baseline,12,1,3084838,3084838,0
borrowed_ready,keepalive_4b_chunks,step2,13,1,2973370,2973370,0
borrowed_ready,keepalive_4b_chunks,core,13,1,4379782,4379782,0
borrowed_ready,keepalive_4b_chunks,step1,13,1,3713497,3713497,0
borrowed_ready,keepalive_4b_chunks,baseline,13,1,3028945,3028945,0
borrowed_ready,keepalive_4b_chunks,step2,14,1,2864269,2864269,0
borrowed_ready,keepalive_4b_chunks,core,14,1,4470703,4470703,0
borrowed_ready,keepalive_4b_chunks,baseline,14,1,2984125,2984125,0
borrowed_ready,keepalive_4b_chunks,step1,14,1,3720898,3720898,0
borrowed_ready,keepalive_4b_chunks,step2,15,1,3062159,3062159,0
borrowed_ready,keepalive_4b_chunks,baseline,15,1,2945578,2945578,0
borrowed_ready,keepalive_4b_chunks,step1,15,1,3706005,3706005,0
borrowed_ready,keepalive_4b_chunks,core,15,1,4572563,4572563,0
borrowed_ready,keepalive_4b_chunks,step1,16,1,3704136,3704136,0
borrowed_ready,keepalive_4b_chunks,step2,16,1,3029649,3029649,0
borrowed_ready,keepalive_4b_chunks,core,16,1,4410407,4410407,0
borrowed_ready,keepalive_4b_chunks,baseline,16,1,3070743,3070743,0
borrowed_ready,keepalive_4b_chunks,step2,17,1,2933024,2933024,0
borrowed_ready,keepalive_4b_chunks,core,17,1,4393409,4393409,0
borrowed_ready,keepalive_4b_chunks,step1,17,1,3647494,3647494,0
borrowed_ready,keepalive_4b_chunks,baseline,17,1,3035397,3035397,0
borrowed_ready,keepalive_4b_chunks,core,18,1,4694552,4694552,0
borrowed_ready,keepalive_4b_chunks,step1,18,1,3636102,3636102,0
borrowed_ready,keepalive_4b_chunks,step2,18,1,2925011,2925011,0
borrowed_ready,keepalive_4b_chunks,baseline,18,1,3080200,3080200,0
borrowed_ready,keepalive_4b_chunks,step1,19,1,3601793,3601793,0
borrowed_ready,keepalive_4b_chunks,baseline,19,1,3030064,3030064,0
borrowed_ready,keepalive_4b_chunks,step2,19,1,2966213,2966213,0
borrowed_ready,keepalive_4b_chunks,core,19,1,4609098,4609098,0
borrowed_ready,keepalive_4b_chunks,step1,20,1,3665436,3665436,0
borrowed_ready,keepalive_4b_chunks,core,20,1,4409194,4409194,0
borrowed_ready,keepalive_4b_chunks,baseline,20,1,2999604,2999604,0
borrowed_ready,keepalive_4b_chunks,step2,20,1,2962015,2962015,0
borrowed_ready,keepalive_4b_chunks,baseline,21,1,2993264,2993264,0
borrowed_ready,keepalive_4b_chunks,step1,21,1,3659611,3659611,0
borrowed_ready,keepalive_4b_chunks,core,21,1,4616007,4616007,0
borrowed_ready,keepalive_4b_chunks,step2,21,1,3098242,3098242,0
borrowed_ready,keepalive_4b_chunks,core,22,1,4460992,4460992,0
borrowed_ready,keepalive_4b_chunks,step1,22,1,3579694,3579694,0
borrowed_ready,keepalive_4b_chunks,step2,22,1,2992296,2992296,0
borrowed_ready,keepalive_4b_chunks,baseline,22,1,2992792,2992792,0
borrowed_ready,keepalive_4b_chunks,step1,23,1,3606133,3606133,0
borrowed_ready,keepalive_4b_chunks,baseline,23,1,3023811,3023811,0
borrowed_ready,keepalive_4b_chunks,step2,23,1,2930276,2930276,0
borrowed_ready,keepalive_4b_chunks,core,23,1,4448634,4448634,0
borrowed_ready,keepalive_4b_chunks,baseline,24,1,2971095,2971095,0
borrowed_ready,keepalive_4b_chunks,step2,24,1,2950819,2950819,0
borrowed_ready,keepalive_4b_chunks,step1,24,1,3557310,3557310,0
borrowed_ready,keepalive_4b_chunks,core,24,1,4425402,4425402,0
borrowed_ready,keepalive_4b_chunks,core,25,1,4306439,4306439,0
borrowed_ready,keepalive_4b_chunks,step1,25,1,3578746,3578746,0
borrowed_ready,keepalive_4b_chunks,baseline,25,1,3048449,3048449,0
borrowed_ready,keepalive_4b_chunks,step2,25,1,2992911,2992911,0
borrowed_ready,keepalive_4b_chunks,core,26,1,4780313,4780313,0
borrowed_ready,keepalive_4b_chunks,step2,26,1,2942722,2942722,0
borrowed_ready,keepalive_4b_chunks,step1,26,1,3613479,3613479,0
borrowed_ready,keepalive_4b_chunks,baseline,26,1,3064223,3064223,0
borrowed_ready,keepalive_4b_chunks,baseline,27,1,2991808,2991808,0
borrowed_ready,keepalive_4b_chunks,step1,27,1,3643397,3643397,0
borrowed_ready,keepalive_4b_chunks,step2,27,1,3003980,3003980,0
borrowed_ready,keepalive_4b_chunks,core,27,1,4741659,4741659,0
borrowed_ready,keepalive_4b_chunks,step2,28,1,3401775,3401775,0
borrowed_ready,keepalive_4b_chunks,step1,28,1,4360025,4360025,0
borrowed_ready,keepalive_4b_chunks,core,28,1,5996876,5996876,0
borrowed_ready,keepalive_4b_chunks,baseline,28,1,4503385,4503385,0
